URL,Desc,Direction,Map
http://209.114.113.131/IMAGE.JPG,Tomanek Hall Room 221,SouthWest,
http://209.114.113.52/IMAGE.JPG,Tomanek Hall Room 205,West,
http://209.114.113.13/IMAGE.JPG,Tomanek Hall Room 237,North,
